grid_id,n,pd,mpd,raoq,fd,fdr,type
33535,34,3245.3593556231,345.8881279207884,21.94159939810348,100.08198634113417,1.7699343888846444,mean
33536,34,3231.387877143108,343.77594537447874,21.720609300044455,91.32828799889717,1.7476453980158326,mean
33537,36,3333.365140383592,342.67300611413606,21.67624553409894,105.94329152111061,1.7823461268760543,mean
33538,36,3302.283812882844,342.5826007845072,22.40510916602747,119.97392413649327,1.809287022209067,mean
33539,36,3353.624704583476,339.6502575103201,22.709608852687015,136.36883558385125,1.8385263878917164,mean
33540,36,3409.461226703476,333.7060232044471,22.591421868791304,140.958182842899,1.845776689832785,mean
33541,36,3427.707253603032,336.9476518456605,22.325168025480647,128.66002106152206,1.827267622480583,mean
33542,36,3426.744700143304,346.57802044224707,22.250522653338603,121.98502665565648,1.8102155246393261,mean
33543,36,3409.160364581408,345.2551882002687,23.009411795916773,149.4378313033773,1.8625379279749905,mean
33544,36,3398.291966701856,342.02360664610313,23.330909014160717,151.87819749855842,1.8653424726427752,mean
33545,36,3424.781361921728,351.14384021714363,23.31083464502527,146.46548747508632,1.8550524483130661,mean
33546,34,3257.549851141344,356.9718422739115,23.41355526342324,119.8046844428185,1.8055890039376972,mean
33547,32,3087.579795262048,359.5126240758538,21.67196632191821,69.71801357946748,1.6905120162326164,mean
33548,30,2950.69838444128,362.210208816683,21.39229678701658,52.51163824458255,1.6332068446210406,mean
33568,100,6453.7984661925675,278.11229974111603,19.922099726687232,1085.5398262372069,2.389969918159714,mean
33569,146,7785.954021068196,260.854993757775,18.764721408302208,1712.4926249738987,2.5328061932447046,mean
33570,151,7917.666844188888,265.3618196717645,19.732781701568072,2187.960462765191,2.6121474253306776,mean
33571,156,8042.651997430516,267.3075182462175,19.241129484001654,2096.914930303416,2.5969517813590386,mean
33572,156,8064.889143130592,271.12011100887526,19.625460806887403,2226.5995738932543,2.618262491261268,mean
33573,154,7983.742826169228,270.99642860764214,19.80499517398663,2237.792398966442,2.6174619065545017,mean
33574,154,8067.603162448796,267.2569692464176,19.59258992446594,2191.5450629846428,2.610068619713819,mean
33575,147,7826.940553268784,267.98864660849523,19.712371650708178,2097.0096935669876,2.596574983951461,mean
33576,143,7729.0240606281595,273.0463088074617,20.17661174053658,2121.4974991880786,2.6022004432880292,mean
33577,140,7613.46221220678,275.42128229316575,20.107359140757804,2029.5596047458214,2.58680367965345,mean
33578,136,7545.853224046088,275.2749367916364,19.833678872261878,1879.9627793217467,2.5607101714512206,mean
33579,124,7055.365413566956,287.8972663916936,20.014838257067343,1477.6028367775182,2.4859413936404255,mean
33580,116,6775.993861239792,286.26278935351667,19.498197163886505,1230.2888042042607,2.429387566331269,mean
33581,112,6556.889891241012,289.5007940398025,19.491686097395437,1115.9017693605633,2.399363518829744,mean
33594,127,7391.14905651508,281.8535305665567,19.061080571618376,1311.812946881366,2.4471688784212993,mean
33595,139,7571.588365258104,273.81295019279935,18.804800735585108,1506.5716918364603,2.4918136541060094,mean
33596,150,8010.10959878348,271.03539493821376,18.705274818093862,1738.551437966702,2.536950565585944,mean
33597,166,8468.219810364852,267.10644458739836,18.216325489090384,1849.3076060445135,2.5565639378034555,mean
33598,222,10363.770615798325,259.5205825199503,17.87005764037382,2905.008447541431,2.7066368845542597,mean
33599,380,14234.287876254844,253.82796793255784,17.059783759270946,4880.576907383666,2.88808934827413,mean
33600,416,14902.711165148092,253.40535406393838,17.090326240619312,5435.548700506717,2.9281766678220382,mean
33601,378,14016.756124453785,255.11788999125324,17.19090498604878,4806.270894608156,2.8833305868419634,mean
33602,365,13824.331631621091,257.1276511605562,17.169198752135937,4550.465027577122,2.863001548357421,mean
33603,347,13562.886364957048,260.3805528805908,17.062489185294663,4167.287476226897,2.8324841769336917,mean
33604,345,13656.245270076117,263.48258688442695,17.172290269967704,4280.480291230422,2.842079913292327,mean
33605,346,13702.682147864709,266.6897010795721,17.002547835499943,4082.9522986530365,2.824223796397665,mean
33606,353,13800.712447736032,264.6111614767045,16.937590104430875,4163.534977112977,2.8317041246481613,mean
33607,356,13776.154383912275,265.2994900379017,16.937595493639233,4135.107722582762,2.829599427919905,mean
33611,314,13052.509897848877,277.9920218966708,17.587617941492837,3837.9149089277284,2.8033803395248964,mean
33612,406,14849.741929591108,267.5754065650876,16.52492464990583,4299.725389570295,2.843868123249292,mean
33613,150,8495.312540749104,291.3569988421738,18.182061782720954,1447.269828780365,2.4791310250967897,mean
33791,272,11545.776638521931,251.32976370399436,19.00380983494812,3814.497532805222,2.8017521890575003,mean
33792,344,13560.371894963611,258.73771288030207,19.21002971736547,4999.504669515048,2.898288702959886,mean
33793,420,15346.613422950948,255.8537149177742,19.057994194431675,5679.300919530501,2.944352398714687,mean
33794,404,15186.563464886276,254.4295720031242,19.15063303005589,5868.241905772412,2.9570653639866147,mean
33795,453,16219.58315912448,253.22296109818112,19.02836866444089,6385.643784940094,2.9880828768699734,mean
33796,492,17188.178019063747,256.11909850619725,19.090297680963094,7392.873592341083,3.0437877555781268,mean
33797,530,17904.8324407767,249.25227075507883,18.265059610219446,7766.192952479918,3.0618204296941927,mean
33798,496,17202.236214628658,248.74335494287013,18.11988030036237,7618.089827551018,3.055003255388917,mean
33799,478,16753.19183901303,248.78206948096582,17.985655822056874,7381.201517569066,3.0424481332218054,mean
33800,377,14547.760088598465,248.78516128047733,18.83554639569153,6806.415238271684,3.01197187339818,mean
33801,307,12649.019596560423,249.61656839840003,19.199194655989288,5548.457831132568,2.9357684076337227,mean
33802,268,11363.807269343992,253.64377931325652,19.48030383353953,4644.489344064311,2.870511418522312,mean
33803,304,12307.66995516452,255.0543564730251,19.632983374233646,5534.144732655189,2.9349378495668477,mean
33804,330,12760.847959668992,251.63433767678123,19.44774730514454,5822.763905260978,2.953361473007061,mean
