grid_id,n,metrics,value
26134,8,pd,526.815458
27143,38,pd,1437.832336
26618,10,pd,595.854069
54595,6,pd,347.016998
8540,2,pd,253.645516
29618,8,pd,544.036131
8939,2,pd,253.645516
15094,1,pd,0
16487,10,pd,453.852033
13212,6,pd,359.174616
47005,12,pd,880.933537
27944,11,pd,625.480534
27068,9,pd,547.5492409999999
20526,51,pd,1454.602103
15695,5,pd,308.680821
42685,21,pd,969.667917
20663,3,pd,112.61158
10173,8,pd,390.048321
38656,6,pd,467.871273
34921,13,pd,634.604747
15264,4,pd,303.521721
14075,8,pd,794.92594
56517,3,pd,234.01068600000002
51116,2,pd,170.573488
46135,10,pd,839.4407229999999
8229,1,pd,0
15763,42,pd,1472.059548
10667,5,pd,348.318383
8024,7,pd,391.049577
18514,5,pd,369.155095
13717,4,pd,327.459517
68384,1,pd,0
16307,7,pd,395.05044100000003
30885,10,pd,552.799901
33044,7,pd,494.568147
26239,7,pd,441.355473
46785,3,pd,283.991499
29204,8,pd,566.103899
28725,9,pd,540.078614
18898,1,pd,0
15846,1,pd,0
47246,4,pd,302.269477
20584,3,pd,258.07604699999996
20410,19,pd,1001.424987
55549,9,pd,422.64050199999997
50922,11,pd,534.945176
31631,31,pd,679.386922
8040,1,pd,0
27555,41,pd,725.027167
42489,4,pd,296.772427
19356,1,pd,0
27126,35,pd,1405.860052
36088,8,pd,499.79504099999997
21692,11,pd,449.062287
19120,15,pd,500.359236
44418,18,pd,946.435495
50053,9,pd,526.708317
38250,8,pd,491.66538499999996
67378,9,pd,547.28307
35765,18,pd,663.256006
27953,11,pd,616.228894
45055,5,pd,451.065565
26576,5,pd,477.082217
9479,1,pd,0
38288,13,pd,595.178094
62598,30,pd,1271.8142579999999
37055,12,pd,586.368367
39436,14,pd,556.636664
55983,8,pd,460.888339
20140,7,pd,426.538649
10326,2,pd,253.645516
18711,15,pd,584.015385
19338,1,pd,0
21906,7,pd,288.752878
34353,8,pd,463.232446
48115,3,pd,216.982734
11927,4,pd,327.459517
20416,23,pd,1111.186792
7678,1,pd,0
36986,12,pd,575.654352
61480,4,pd,767.890352
24075,2,pd,253.645516
54590,6,pd,497.28083899999996
12457,3,pd,292.44309499999997
24898,9,pd,431.32934
11195,2,pd,253.645516
57599,5,pd,678.361125
9814,3,pd,292.44309499999997
16314,6,pd,360.034019
32241,13,pd,611.598197
54135,2,pd,198.704756
45597,2,pd,198.704756
26433,14,pd,527.082343
23713,27,pd,1331.383208
10662,6,pd,390.013961
9701,1,pd,0
27543,13,pd,497.692747
15040,3,pd,292.44309499999997
30977,13,pd,588.663278
19572,19,pd,1034.489435
18393,17,pd,1067.437146
42589,7,pd,504.966551
12466,2,pd,253.645516
16730,2,pd,70.03284400000001
49818,3,pd,283.9915
22238,26,pd,1183.075889
17851,10,pd,442.52343
18658,10,pd,434.729088
35330,19,pd,681.533984
33375,15,pd,594.774755
60877,47,pd,1377.719419
17381,10,pd,440.69818
59333,4,pd,393.716117
14753,6,pd,374.314195
7320,1,pd,0
27108,11,pd,465.889068
17623,6,pd,353.354863
45087,3,pd,183.35441500000002
17594,1,pd,0
37822,8,pd,478.614302
45078,4,pd,388.303823
17162,1,pd,0
26272,20,pd,1158.400195
12618,1,pd,0
25709,6,pd,495.360195
19700,13,pd,987.678079
15429,1,pd,0
8908,1,pd,0
41625,4,pd,296.772427
10759,1,pd,0
56556,14,pd,600.7696629999999
22971,31,pd,1225.529715
8181,2,pd,253.645516
31020,32,pd,1070.857062
44734,2,pd,198.704756
37495,14,pd,632.556329
13298,2,pd,253.645516
9033,1,pd,0
21950,2,pd,253.645516
49922,2,pd,198.704756
22787,3,pd,258.07604699999996
34356,8,pd,463.232446
7673,1,pd,0
58710,11,pd,484.868738
12153,4,pd,330.357516
38221,7,pd,473.098168
16247,6,pd,324.807568
27056,11,pd,599.069769
17596,2,pd,70.03284400000001
21493,2,pd,253.645516
8586,1,pd,0
68815,1,pd,0
12452,3,pd,292.44309499999997
18044,1,pd,0
20866,32,pd,1257.192174
13719,4,pd,327.459517
32742,27,pd,879.066933
15391,4,pd,317.71926
9493,1,pd,0
13772,2,pd,253.645516
36935,7,pd,473.387407
22379,2,pd,6.867782
15469,5,pd,348.318383
15501,3,pd,292.44309499999997
42904,6,pd,342.200717
9835,1,pd,0
